CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F105,F168,F169,F170,F171,F173,F174,F175,F176,F177,F178,F179,F180,F181,F182,F183
,,,,,Age : Age 100 and over - Unit : Persons,Age : Age 0 to 4 - Unit : Persons,Age : Age 5 to 7 - Unit : Persons,Age : Age 8 to 9 - Unit : Persons,Age : Age 10 to 14 - Unit : Persons,Age : Age 16 to 17 - Unit : Persons,Age : Age 18 to 19 - Unit : Persons,Age : Age 20 to 24 - Unit : Persons,Age : Age 25 to 29 - Unit : Persons,Age : Age 30 to 44 - Unit : Persons,Age : Age 45 to 59 - Unit : Persons,Age : Age 60 to 64 - Unit : Persons,Age : Age 65 to 74 - Unit : Persons,Age : Age 75 to 84 - Unit : Persons,Age : Age 85 to 89 - Unit : Persons,Age : Age 90 and over - Unit : Persons
8873,S13002636,St. Andrews ,Wards and Electoral Divisions,WED,3,412,288,187,477,313,2076,5337,1152,1897,2182,877,1400,1073,335,166
8874,S13002637,East Neuk and Land Ward,Wards and Electoral Divisions,WED,3,470,320,232,681,307,217,546,520,2059,2840,1059,1692,1001,254,134
8875,S13002638,Cupar ,Wards and Electoral Divisions,WED,5,753,406,302,823,359,322,674,624,2732,3150,1060,1569,1038,272,161
8876,S13002639,"Leven, Kennoway and Largo ",Wards and Electoral Divisions,WED,4,902,553,333,1030,456,411,903,955,3300,4177,1313,2077,1272,337,166
8877,S13002640,"Buckhaven, Methil and Wemyss Villages ",Wards and Electoral Divisions,WED,5,1149,603,339,1053,441,445,1150,1066,3397,3837,1230,1757,1152,276,128
8878,S13002641,Linn ,Wards and Electoral Divisions,WED,5,1776,945,586,1852,748,777,1983,2010,6095,6322,1667,2259,1450,372,152
8879,S13002642,Newlands / Auldburn ,Wards and Electoral Divisions,WED,5,1343,737,464,1255,548,550,1424,1542,4559,4816,1302,1963,1340,311,136
8880,S13002643,Greater Pollok ,Wards and Electoral Divisions,WED,4,2178,1251,786,2231,904,994,2237,2101,6950,6994,1454,2176,1441,257,132
8881,S13002644,Craigton ,Wards and Electoral Divisions,WED,7,1920,998,657,1862,747,794,1894,2089,5914,6337,1540,2600,2100,514,220
8882,S13002645,Govan ,Wards and Electoral Divisions,WED,3,1520,783,476,1219,579,825,2688,3260,6728,5575,1430,2069,1508,387,222
8883,S13002646,Pollokshields ,Wards and Electoral Divisions,WED,4,1459,708,462,1119,497,511,1585,2526,5601,4055,1017,1360,957,266,124
8884,S13002647,Langside ,Wards and Electoral Divisions,WED,2,1141,512,311,772,353,440,1494,3031,6535,4247,1116,1391,1025,273,109
8885,S13002648,Southside Central ,Wards and Electoral Divisions,WED,7,1777,828,525,1312,549,913,2433,2977,7488,5102,1230,2047,1341,290,137
8886,S13002649,Calton ,Wards and Electoral Divisions,WED,0,1146,504,305,1044,383,972,3004,2722,4959,3993,1040,1550,1037,210,71
8887,S13002650,Anderston / City ,Wards and Electoral Divisions,WED,1,787,285,177,426,284,3008,7855,4611,6092,3256,765,1142,773,165,67
8888,S13002651,Hillhead ,Wards and Electoral Divisions,WED,5,963,437,291,676,330,1310,6107,3722,5714,3609,981,1252,838,212,112
8889,S13002652,Partick West ,Wards and Electoral Divisions,WED,6,1385,671,466,1242,523,880,3680,3735,7564,6056,1517,2076,1506,433,226
8890,S13002653,Garscadden / Scotstounhill ,Wards and Electoral Divisions,WED,9,1923,961,576,1689,677,759,1828,2148,6422,5898,1394,2274,1741,505,236
8891,S13002654,Drumchapel / Anniesland ,Wards and Electoral Divisions,WED,11,1959,1009,615,1715,701,821,2044,2394,6091,5632,1433,2035,1468,438,221
